Transaction ID,Type,Date,Pickup Date,Reference,Mode,FBA ID,Ship Name,Container,SKU,Warehouse,Notes
TRX-FMC-1719273600000-12,SHIP,2024-06-25,2024-06-26,"130 Cartons-LTL 3-CS007-009-010",LTL,,"",,CS 010,FMC,""
TRX-FMC-1718064000000-9,SHIP,2024-06-11,2024-06-11,"45 Cartons - LTL 3 - CS008",LTL,,"",,CS 008,FMC,""
TRX-FMC-1717632000000-8,SHIP,2024-06-06,2024-06-07,"54 Cartons - LTL 2 - CS007",LTL,,"",,CS 007,FMC,""
TRX-FMC-1716336000000-6,SHIP,2024-05-22,2024-05-24,"256 Cartons - LTL 2 - CS-PDS",LTL,,"",,CS 009,FMC,""
TRX-FMC-1716336000000-7,SHIP,2024-05-22,2024-05-24,"256 Cartons - LTL 2 - CS-PDS",LTL,,"",,CS 010,FMC,""
TRX-FMC-1716336000000-5,SHIP,2024-05-22,2024-05-24,"256 Cartons - LTL 2 - CS-PDS",LTL,,"",,CS 007,FMC,""
TRX-FMC-1716163200000-4,SHIP,2024-05-20,2024-05-22,"36 Cartons - LTL 1 - CS007",LTL,,"",,CS 007,FMC,""
TRX-FMC-1715904000000-0,RECEIVE,2024-05-17,2024-05-15,"OOCL Germany",,,"OOCL Germany",,CS 007,FMC,""
TRX-FMC-1715904000000-1,RECEIVE,2024-05-17,2024-05-16,"OOCL Germany",,,"OOCL Germany",,CS 008,FMC,""
TRX-FMC-1715904000000-3,RECEIVE,2024-05-17,2024-05-16,"OOCL Germany",,,"OOCL Germany",,CS 010,FMC,""
TRX-FMC-1715904000000-2,RECEIVE,2024-05-17,2024-05-16,"OOCL Germany",,,"OOCL Germany",,CS 009,FMC,""
