Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-FMC-1718064000000-9,2024-06-10,SHIP,FMC,CS 008,"45 Cartons - LTL 3 - CS008",,,,"",,LTL,,45,,,,OTHER,YES
TRX-FMC-1717632000000-8,2024-06-05,SHIP,FMC,CS 007,"54 Cartons - LTL 2 - CS007",,,,"",,LTL,,54,,,,OTHER,YES
TRX-FMC-1716336000000-5,2024-05-21,SHIP,FMC,CS 007,"256 Cartons - LTL 2 - CS-PDS",,,,"",,LTL,,256,,,,OTHER,YES
TRX-FMC-1716336000000-7,2024-05-21,SHIP,FMC,CS 010,"256 Cartons - LTL 2 - CS-PDS",,,,"",,LTL,,256,,,,OTHER,YES
TRX-FMC-1716336000000-6,2024-05-21,SHIP,FMC,CS 009,"256 Cartons - LTL 2 - CS-PDS",,,,"",,LTL,,256,,,,OTHER,YES
TRX-FMC-1716163200000-4,2024-05-19,SHIP,FMC,CS 007,"36 Cartons - LTL 1 - CS007",,,,"",,LTL,,36,,,,OTHER,YES
TRX-FMC-1715904000000-2,2024-05-16,RECEIVE,FMC,CS 009,"OOCL Germany",,OOCL Germany,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-FMC-1715904000000-0,2024-05-16,RECEIVE,FMC,CS 007,"OOCL Germany",,OOCL Germany,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-FMC-1715904000000-3,2024-05-16,RECEIVE,FMC,CS 010,"OOCL Germany",,OOCL Germany,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-FMC-1715904000000-1,2024-05-16,RECEIVE,FMC,CS 008,"OOCL Germany",,OOCL Germany,,"",,,,,,,,OOCL-REFERENCE,YES
