Transaction ID,Transaction Date,Transaction Type,Warehouse,SKU Code,Reference ID,Mode of Transportation,Ship Name,Container Number,Notes,Extracted Carrier,Extracted Transport Mode,Extracted FBA ID,Extracted Box Count,Extracted Tracking,Extracted Batch,Extracted Invoice,Reference Format Type,Has Structured Data
TRX-FMC-1727049600000-67,2024-09-22,SHIP,FMC,CS-CDS-001,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1727049600000-66,2024-09-22,SHIP,FMC,CS 009,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-FMC-1727049600000-65,2024-09-22,SHIP,FMC,CS 007,"72 Cartons - Mix SKU - LTL",,,,"",,LTL,,72,,,,OTHER,YES
TRX-VGLOBAL-1726790400000-64,2024-09-19,SHIP,VGlobal,CS 012,"48 Cartons - CS011-CS012",,,,"",,,,48,,,,OTHER,YES
TRX-VGLOBAL-1726790400000-63,2024-09-19,SHIP,VGlobal,CS 011,"48 Cartons - CS011-CS012",,,,"",,,,48,,,,OTHER,YES
TRX-VGLOBAL-1726617600000-60,2024-09-17,RECEIVE,VGlobal,CS 010,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-VGLOBAL-1726617600000-59,2024-09-17,RECEIVE,VGlobal,CS 008,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-VGLOBAL-1726617600000-58,2024-09-17,RECEIVE,VGlobal,CS 011,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-VGLOBAL-1726617600000-62,2024-09-17,RECEIVE,VGlobal,CS 012,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-VGLOBAL-1726617600000-61,2024-09-17,RECEIVE,VGlobal,CS 009,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-VGLOBAL-1726617600000-57,2024-09-17,RECEIVE,VGlobal,CS 007,"OOCL Spain",,OOCL Spain,,"",,,,,,,,OOCL-REFERENCE,YES
TRX-FMC-1726444800000-56,2024-09-15,SHIP,FMC,CS 009,"36 Cartons - CS007-CS009 - LTL",,,,"",,LTL,,36,,,,OTHER,YES
TRX-FMC-1726444800000-55,2024-09-15,SHIP,FMC,CS 007,"36 Cartons - CS007-CS009 - LTL",,,,"",,LTL,,36,,,,OTHER,YES
TRX-FMC-1726444800000-54,2024-09-15,SHIP,FMC,CS 007,"20 Cartons - CS007 - SPD",,,,"",,SPD,,20,,,,OTHER,YES
TRX-FMC-1726012800000-52,2024-09-10,SHIP,FMC,CS-CDS-001,"198 Cartons - Mix SKU - FTL",,,,"",,FTL,,198,,,,OTHER,YES
TRX-FMC-1726012800000-51,2024-09-10,SHIP,FMC,CS 009,"198 Cartons - Mix SKU - FTL",,,,"",,FTL,,198,,,,OTHER,YES
TRX-FMC-1726012800000-50,2024-09-10,SHIP,FMC,CS 007,"198 Cartons - Mix SKU - FTL",,,,"",,FTL,,198,,,,OTHER,YES
TRX-FMC-1726012800000-53,2024-09-10,SHIP,FMC,CS-CDS-002,"198 Cartons - Mix SKU - FTL",,,,"",,FTL,,198,,,,OTHER,YES
TRX-FMC-1724284800000-45,2024-08-21,SHIP,FMC,CS 007,"216 Cartons - Mix SKU",,,,"",,,,216,,,,OTHER,YES
TRX-FMC-1724284800000-47,2024-08-21,SHIP,FMC,CS 009,"216 Cartons - Mix SKU",,,,"",,,,216,,,,OTHER,YES
TRX-FMC-1724284800000-48,2024-08-21,SHIP,FMC,CS-CDS-001,"216 Cartons - Mix SKU",,,,"",,,,216,,,,OTHER,YES
